Var1	Var2	Var3	Var4	Var5	Var6	y
106	0	0	0	0	1	0	0
107	0	0	1	2	3	1	0
108	1	2	1	1	1	0	0
109	1	1	2	1	1	3	0
110	0	1	1	0	0	2	0
111	0	1	1	1	1	0	0
112	2	2	0	2	1	0	0
113	1	0	0	2	1	0	0
114	0	0	0	0	3	0	0
115	1	0	1	1	1	0	0
116	1	1	0	0	0	0	0
117	1	1	0	0	3	0	0
118	3	0	2	1	1	0	0
119	1	3	2	0	0	0	0
120	0	3	1	0	0	1	1
121	0	1	1	1	1	1	0
122	1	0	3	0	1	1	0
123	1	1	2	1	2	0	0
124	3	3	1	0	0	0	1
125	1	0	0	3	1	0	0
126	0	2	0	0	0	0	1
127	0	1	2	3	0	2	0
128	0	1	0	0	1	2	0
129	1	1	0	2	1	2	0
130	1	0	0	0	1	0	0
131	0	1	2	1	1	2	0
132	2	2	1	0	1	0	0
133	0	1	0	2	0	0	1
134	1	2	3	1	3	1	0
135	0	1	1	1	0	1	0
136	2	0	1	1	0	2	0
137	1	2	0	1	1	0	0
138	1	3	0	1	2	0	0
139	2	0	1	3	1	2	0
140	2	1	0	0	0	1	0
141	1	1	1	1	0	1	0
142	0	1	0	0	1	0	0
143	1	0	2	1	1	2	0
144	1	0	0	0	0	1	0
145	1	2	0	2	1	2	0
146	0	2	2	0	0	2	0
147	2	0	1	2	0	0	0
148	2	1	1	1	1	0	0
149	1	1	3	0	2	0	0
150	1	2	2	0	1	1	0
151	0	2	1	1	1	1	0
152	1	0	1	3	1	0	0
153	0	2	0	1	0	2	1
154	1	0	1	1	2	2	0
155	1	1	0	0	1	1	0
156	1	0	0	2	0	1	0
157	0	1	1	0	0	0	0
158	2	1	0	1	0	3	0
159	1	1	0	1	0	2	0
160	2	1	2	1	2	3	0
161	1	0	0	1	3	1	0
162	1	0	0	1	0	2	0
163	2	0	0	0	1	0	0
164	0	1	2	0	0	1	0
165	0	1	0	2	1	0	0
166	2	2	0	2	0	0	0
167	1	1	1	1	0	0	0
168	1	2	2	2	0	0	0
169	2	1	1	0	2	0	0
170	0	1	1	2	3	0	0
171	1	0	1	3	1	1	0
172	0	0	0	1	0	2	0
173	1	0	0	2	2	1	0
174	1	2	1	3	0	1	0
175	0	0	0	0	3	0	0
176	0	3	0	2	1	2	1
177	2	1	2	3	1	2	0
178	1	2	0	1	0	0	1
179	0	1	0	2	0	0	1
180	0	1	0	0	1	0	0
181	2	0	1	2	0	2	0
182	0	3	1	0	2	1	0
183	0	2	0	2	3	1	0
184	0	1	3	2	3	1	0
185	0	2	0	0	3	0	0
186	0	1	0	2	1	0	0
187	1	0	1	0	1	1	0
188	1	1	2	0	0	2	0
189	0	1	0	1	1	1	0
190	2	0	1	1	1	2	0
191	1	0	1	3	1	2	0
192	2	0	0	2	1	0	0
193	3	0	1	1	0	1	0
194	0	3	0	0	0	1	1
195	3	0	0	0	0	0	0
196	1	0	2	0	0	1	0
197	2	1	2	0	3	1	0
198	1	0	0	0	1	1	0
199	1	1	1	0	2	3	0
200	1	0	2	1	0	1	0
201	2	0	1	2	0	0	0
202	1	1	1	3	1	0	0
203	1	1	1	0	0	2	0
204	1	3	1	0	0	2	0
205	1	1	1	1	2	1	0
206	2	0	2	0	1	1	0
207	0	1	0	1	1	1	0
208	0	0	0	1	1	1	0
209	2	1	1	1	2	0	0
210	0	1	1	1	2	0	0
211	1	1	1	0	0	0	0
212	1	2	0	2	1	2	0
213	2	1	0	1	1	0	0
214	3	2	0	1	3	1	0
215	2	0	2	0	1	1	0
216	1	1	1	1	2	1	0
217	0	2	0	2	2	2	0
218	1	2	1	0	1	1	0
219	1	0	0	0	1	0	0
220	2	3	3	0	1	1	0
221	1	2	1	2	1	1	0
222	2	1	2	1	1	0	0
223	0	2	0	1	1	1	0
224	3	0	1	0	2	1	0
225	0	0	0	0	0	1	0
226	0	1	0	1	0	2	0
227	2	0	0	2	1	1	0
228	1	0	1	2	2	1	0
229	3	0	0	1	0	1	0
230	0	1	2	1	1	0	0
231	0	1	3	1	1	1	0
232	0	3	2	0	2	1	0
233	0	0	0	0	1	1	0
234	0	1	0	2	1	2	0
235	0	2	0	0	0	1	1
236	0	2	0	1	1	0	0
237	1	1	0	1	1	0	0
238	0	1	0	1	1	0	0
239	1	0	0	1	0	0	0
240	0	1	1	3	2	2	0
241	1	0	3	0	2	2	0
242	1	1	1	3	2	0	0
243	0	1	1	3	0	0	0
244	3	3	1	2	1	1	0
245	1	0	1	2	0	0	0
246	2	3	0	0	0	0	1
247	0	1	0	0	0	0	0
248	1	3	3	1	1	1	0
249	2	0	0	0	0	2	0
250	1	2	0	3	1	0	0
251	2	3	1	0	1	3	0
252	0	0	1	0	2	0	0
253	2	1	1	0	0	1	0
254	3	0	1	1	0	0	0
255	1	0	3	3	0	1	0
256	0	0	1	0	0	0	0
257	2	2	2	2	1	1	0
258	1	1	0	2	2	0	0
259	0	0	0	1	1	0	0
260	1	0	2	2	1	0	0
261	1	2	1	1	2	1	0
262	2	1	3	0	2	0	0
263	3	1	2	0	0	1	0
264	0	1	2	1	0	1	0
265	3	0	1	0	1	0	0
266	2	1	0	1	0	1	0
267	0	0	0	2	1	1	0
268	0	1	1	0	1	1	0
269	1	0	0	0	2	1	0
270	0	2	1	0	2	2	0
271	0	0	1	0	2	1	0
272	1	1	1	0	2	1	0
273	1	3	2	0	3	0	0
274	2	0	0	1	2	1	0
275	1	0	0	0	0	2	0
276	1	0	3	2	2	0	0
277	0	0	0	0	1	1	0
278	0	0	3	0	0	0	0
279	1	2	3	3	1	0	0
280	1	1	1	1	3	0	0
281	1	0	2	1	2	1	0
282	2	0	1	0	1	1	0
283	0	0	3	2	0	3	0
284	3	1	0	1	1	3	0
285	1	1	0	2	0	3	0
286	3	0	1	1	2	1	0
287	1	0	1	0	0	2	0
288	1	1	2	0	0	0	0
289	1	0	2	0	2	0	0
290	0	0	1	3	0	1	0
291	1	1	2	1	2	0	0
292	0	1	1	1	1	0	0
293	1	0	1	3	2	1	0
294	0	3	1	3	1	0	0
295	2	1	2	2	0	1	0
296	1	0	2	0	0	3	0
297	1	0	1	0	1	1	0
298	0	0	1	1	0	0	0
299	2	1	0	1	0	1	0
300	1	0	1	2	2	3	0
301	1	2	0	3	1	2	0
302	2	1	0	0	2	2	0
303	1	2	3	1	1	1	0
304	1	0	1	1	1	2	0
305	0	1	1	0	0	3	1
306	2	2	0	0	1	0	0
307	1	2	1	1	1	1	0
308	0	1	1	1	2	0	0
309	3	0	2	0	0	0	0
310	2	3	2	2	0	0	0
311	1	2	2	1	2	1	0
312	0	3	0	1	0	0	1
313	0	1	0	1	2	2	0
314	0	2	0	1	1	2	0
315	1	1	0	1	0	0	1
316	0	0	1	1	1	0	0
317	1	0	2	0	1	1	0
318	1	2	2	2	0	0	0
319	2	2	1	0	0	1	0
320	2	3	1	3	1	2	0
321	3	0	0	1	2	0	0
322	1	2	1	0	1	0	0
323	0	1	1	2	1	2	0
324	0	2	0	2	1	2	0
325	1	0	0	1	1	1	0
326	1	1	2	1	1	0	0
327	1	1	1	0	3	2	0
328	0	0	0	0	2	1	0
329	2	1	3	0	0	0	0
330	0	1	3	3	0	1	0
331	1	0	1	1	1	0	0
332	1	0	1	1	3	3	0
333	2	2	1	0	1	0	0
334	1	0	1	1	1	2	0
335	1	2	2	1	0	2	0
336	3	1	0	3	0	1	0
337	2	0	1	0	0	1	0
338	2	2	2	2	0	0	0
339	1	1	2	2	3	2	0
340	2	1	1	1	1	2	0
341	1	1	0	0	0	1	0
342	3	2	0	1	0	3	0
343	1	0	0	0	0	3	0
344	2	1	1	1	1	1	0
345	0	0	0	0	2	1	0
346	1	2	0	1	3	0	0
347	1	1	2	0	1	1	0
348	1	1	1	2	1	1	0
349	2	0	3	0	1	2	0
350	1	0	1	3	0	1	0
351	1	1	1	1	1	2	0
352	1	3	2	0	3	1	0
353	1	1	0	1	1	1	0
354	3	0	0	0	2	0	0
355	0	0	1	1	1	3	0
356	0	0	0	1	2	1	0
357	0	2	2	1	2	0	0
358	2	1	1	1	2	2	0
359	2	0	1	0	1	1	0
360	1	0	0	0	0	1	1
361	1	2	2	1	2	3	0
362	0	0	0	3	0	0	0
363	1	0	2	3	1	0	0
364	1	1	2	2	2	2	0
365	2	0	1	2	0	1	0
366	0	3	0	1	1	0	1
367	1	2	0	2	0	0	0
368	1	2	2	1	1	2	0
369	2	1	1	0	0	2	0
370	0	1	1	0	1	2	0
371	2	1	2	1	0	1	0
372	1	1	0	2	1	1	0
373	1	3	1	2	2	3	0
374	0	0	0	0	1	1	0
375	0	1	0	1	1	2	0
376	0	1	2	1	0	2	0
377	1	0	0	2	2	0	0
378	0	2	0	2	1	0	0
379	2	2	1	0	0	2	0
380	1	1	1	1	0	1	0
381	0	0	1	3	1	3	0
382	1	0	3	1	1	0	0
383	3	2	0	2	1	1	0
384	0	0	0	2	1	0	0
385	0	0	1	1	2	1	0
386	0	0	0	0	0	1	0
387	1	0	2	0	0	1	0
388	0	2	1	3	2	1	0
389	1	0	0	3	3	1	0
390	3	3	1	0	2	3	0
391	2	0	0	2	1	1	0
392	1	0	1	1	1	2	0
393	1	2	3	0	0	0	0
394	0	1	0	1	1	0	0
395	1	0	0	1	1	0	0
396	1	1	2	2	1	3	0
397	2	2	2	0	1	0	0
398	3	1	0	1	0	0	0
399	0	1	3	1	3	0	0
400	3	1	0	0	0	2	0
401	2	0	1	1	1	1	0
402	1	0	1	0	3	2	0
403	2	0	1	2	1	1	0
404	1	3	3	1	0	0	0
405	0	1	1	0	1	0	0
406	1	0	2	0	2	0	0
407	0	1	1	2	1	1	0
408	2	0	0	1	1	0	0
409	3	2	3	0	1	1	0
410	1	3	0	1	0	1	1
411	1	0	0	1	0	2	0
412	1	1	3	0	2	3	0
413	0	2	1	1	1	3	0
414	1	0	1	0	1	1	0
415	1	2	3	1	2	2	0
416	1	0	0	1	2	0	0
417	2	0	0	2	0	0	0
418	2	0	0	1	1	2	0
419	1	1	1	0	2	1	0
420	3	0	2	0	3	3	0
421	0	1	1	1	1	0	0
422	0	1	3	0	1	0	0
423	0	0	1	0	1	0	0
424	3	0	1	1	3	1	0
425	1	1	1	1	1	1	0
426	0	3	1	0	0	2	0
427	0	1	1	0	1	1	0
428	0	3	3	1	3	3	0
429	0	0	0	0	0	0	1
430	1	0	0	0	2	3	0
431	0	0	1	2	0	0	0
432	0	2	0	1	0	2	0
433	0	0	0	2	1	0	0
434	1	0	0	1	1	1	0
435	2	3	1	1	1	1	0
436	0	1	1	0	1	0	0
437	0	0	2	0	0	0	0
438	2	2	1	1	0	2	0
439	2	1	0	0	3	0	0
440	0	3	0	1	1	1	1
441	0	0	3	1	1	0	0
442	1	3	1	0	1	1	0
443	0	3	0	0	1	1	0
444	1	1	3	0	2	0	0
445	3	1	2	2	0	0	0
446	1	0	0	2	2	0	0
447	2	1	1	1	3	1	0
448	0	0	0	2	3	0	0
449	2	0	2	1	0	0	0
450	2	2	3	0	0	1	0
451	1	1	1	1	3	2	0
452	0	2	1	1	0	2	0
453	0	0	0	1	0	0	0
454	0	3	0	3	0	1	1
455	0	0	1	1	0	1	0
456	0	0	3	0	0	0	0
457	0	0	0	3	1	0	0
458	1	0	0	1	1	1	0
459	1	2	2	1	1	0	0
460	0	1	1	1	2	1	0
461	2	0	2	3	1	0	0
462	0	0	1	1	0	1	0
463	1	0	1	0	2	1	0
464	3	2	1	3	0	1	0
465	0	3	2	0	1	1	0
466	1	1	1	2	2	2	0
467	1	1	1	1	3	2	0
468	1	2	2	1	1	2	0
469	1	1	1	1	2	1	0
470	1	0	1	1	1	1	0
471	0	2	2	2	0	3	0
472	1	0	0	0	1	0	0
473	3	3	0	1	2	0	0
474	1	0	2	1	1	0	0
475	1	1	0	1	1	2	0
476	0	2	0	2	0	1	0
477	2	0	1	2	2	1	0
478	1	0	0	0	0	0	0
479	0	1	0	1	1	0	0
480	1	0	0	2	2	3	0
481	2	0	1	3	1	0	0
482	0	1	0	1	0	1	1
483	0	2	3	1	0	0	0
484	2	1	1	2	1	1	0
485	1	2	1	2	3	0	0
486	1	3	1	1	0	2	0
487	0	1	2	0	0	3	0
488	3	0	0	3	1	0	0
489	1	3	0	0	3	1	0
490	0	2	3	1	1	1	0
491	2	2	1	1	0	0	0
492	1	0	0	0	0	3	0
493	0	2	2	1	1	0	0
494	1	1	0	2	2	0	0
495	0	2	1	1	1	3	0
496	0	3	2	0	2	1	0
497	2	3	1	2	1	3	0
498	3	2	1	0	0	0	1
499	1	0	0	0	3	3	0
500	0	0	1	1	0	2	0
501	1	1	0	0	2	0	0
502	0	1	1	1	0	0	0
503	0	1	1	2	0	3	0
504	1	0	0	1	2	0	0
505	1	1	0	1	0	1	0
506	1	2	1	2	1	1	0
507	1	0	0	1	1	0	0
508	1	2	1	1	0	1	0
509	1	0	0	2	0	0	0
510	2	0	0	1	3	1	0
511	2	3	0	1	0	0	1
512	0	0	0	0	1	1	0
513	1	0	0	1	1	0	0
514	0	2	2	1	1	1	0
515	0	0	1	2	0	1	0
516	2	1	1	0	1	1	0
517	0	3	1	0	0	2	0
518	1	0	2	0	1	1	0
519	1	2	0	0	2	1	0
520	2	1	3	0	1	2	0
521	1	1	3	3	2	1	0
522	0	1	2	2	1	2	0
523	0	0	0	0	1	2	0
524	1	1	1	0	1	0	0
525	0	2	1	0	1	0	0
526	0	1	0	1	0	2	0
527	2	2	1	3	1	2	0
528	0	0	0	0	0	0	0
529	0	2	0	1	1	1	0
530	0	0	0	0	1	1	0
531	1	2	1	2	0	2	0
532	2	1	0	3	1	2	0
533	1	2	1	1	1	1	0
534	0	2	1	1	2	0	0
535	0	1	0	2	2	1	0
536	0	0	1	2	2	1	0
537	2	0	1	3	1	1	0
538	1	3	0	1	2	1	0
539	0	3	0	0	1	0	1
540	0	1	0	2	1	1	0
541	1	0	1	1	3	2	0
542	3	1	0	2	1	0	0
543	0	1	3	2	0	2	0
544	0	1	1	1	0	1	0
545	0	2	2	0	2	1	0
546	0	2	2	2	1	0	0
547	2	2	2	0	2	2	0
548	0	0	1	0	1	3	0
549	0	0	2	2	0	0	0
550	3	3	1	1	1	3	0
551	0	0	0	0	1	2	0
552	0	1	0	1	1	1	0
553	2	2	2	0	0	3	0
554	0	0	2	3	0	1	0
555	2	3	1	2	1	1	0
556	1	0	2	1	1	2	0
557	1	2	2	1	2	0	0
558	2	1	0	0	0	0	1
559	2	1	1	1	0	1	0
560	0	0	2	3	1	0	0
561	0	1	0	0	1	0	0
562	0	1	2	0	1	3	0
563	1	0	1	1	1	1	0
564	2	1	2	0	0	0	0
565	2	0	1	3	0	0	0
566	2	2	0	2	1	1	0
567	0	0	2	2	1	1	0
568	1	0	1	1	1	3	0
569	1	1	0	2	0	1	0
570	0	0	1	2	1	1	0
571	0	0	1	0	1	1	0
572	1	1	0	0	1	1	0
573	2	0	2	2	0	0	0
574	2	1	0	0	3	1	0
575	0	3	1	1	1	0	0
576	1	2	2	1	1	0	0
577	0	1	1	1	0	1	0
578	1	2	1	0	1	0	0
579	2	1	2	3	2	1	0
580	0	1	3	2	3	3	0
581	1	0	2	2	1	1	0
582	2	1	1	1	0	2	0
583	1	0	0	1	2	0	0
584	1	1	3	2	1	0	0
585	2	1	0	1	1	0	0
586	2	1	1	1	0	0	0
587	0	3	0	2	0	2	1
588	0	1	0	1	0	1	1
589	0	2	0	2	1	2	0
590	0	1	3	0	1	1	0
591	0	1	0	0	1	0	1
592	1	1	0	0	2	1	0
593	1	0	1	1	1	2	0
594	1	0	0	2	0	1	0
595	2	1	1	2	1	1	0
596	1	1	0	2	1	2	0
597	2	1	0	2	0	1	0
598	1	3	3	2	1	0	0
599	0	1	1	1	2	0	0
600	0	0	3	0	0	0	0
601	3	0	1	2	0	0	0
602	2	0	2	1	0	0	0
603	3	0	1	0	0	1	0
604	0	1	2	0	1	2	0
605	2	0	3	0	0	2	0
606	0	2	3	0	1	2	0
607	1	3	1	0	1	1	0
608	1	1	1	2	2	0	0
609	1	3	1	0	1	0	0
610	1	1	2	0	0	1	0
611	0	1	2	0	0	0	0
612	0	1	1	0	0	2	0
613	1	1	2	2	1	0	0
614	0	1	0	1	1	1	0
615	0	2	0	1	0	0	0
616	1	2	1	1	0	0	0
617	0	3	1	2	1	0	0
618	1	0	0	0	0	0	0
619	2	1	0	0	1	0	0
620	0	0	1	0	1	0	0
621	1	0	1	0	3	2	0
622	1	1	1	1	1	0	0
623	3	1	2	1	0	0	0
624	3	0	1	0	2	2	0
625	2	0	1	2	1	2	0
626	2	3	1	0	0	2	0
627	1	2	0	3	1	0	0
628	1	0	0	1	1	1	0
629	0	2	3	1	1	1	0
630	1	1	1	3	1	0	0
631	0	0	1	1	1	1	0
632	2	2	2	1	3	0	0
633	1	0	2	1	0	2	0
634	2	1	1	2	2	0	0
635	0	2	0	0	0	2	1
636	3	1	0	1	1	1	0
637	3	1	0	0	1	1	0
638	1	2	2	1	1	0	0
639	1	2	0	2	1	0	0
640	3	2	2	2	1	0	0
641	2	1	0	1	0	2	0
642	1	2	1	0	3	1	0
643	1	0	0	1	2	1	0
644	0	0	1	2	2	0	0
645	3	0	0	0	0	0	0
646	0	1	2	0	1	1	0
647	2	2	1	0	1	2	0
648	2	2	2	2	3	1	0
649	1	2	2	0	1	2	0
650	1	3	2	0	1	0	0
651	0	1	1	1	2	0	0
652	0	0	0	1	2	2	0
653	0	2	0	2	2	0	0
654	1	0	1	2	1	2	0
655	1	0	1	0	2	0	0
656	0	1	0	0	1	2	0
657	1	0	0	1	2	3	0
658	0	2	1	2	0	2	0
659	0	0	1	2	1	1	0
660	1	0	1	1	0	1	0
661	2	1	0	2	2	3	0
662	0	1	2	2	2	1	0
663	1	1	3	0	0	0	0
664	1	0	0	2	1	0	0
665	1	0	1	2	2	0	0
666	3	0	2	1	0	0	0
667	0	1	0	1	1	0	0
668	0	0	1	1	1	1	0
669	1	1	0	2	0	1	0
670	2	1	1	0	0	0	0
671	1	1	3	0	0	0	0
672	1	0	0	0	1	1	0
673	1	1	1	1	0	0	0
674	0	0	0	3	0	0	0
675	0	0	1	1	0	1	0
676	2	2	0	0	1	0	0
677	2	1	0	0	0	1	0
678	3	1	1	0	1	2	0
679	1	2	0	0	1	2	1
680	1	0	1	2	0	0	0
681	3	3	1	0	2	1	0
682	2	0	1	0	1	0	0
683	1	0	1	1	1	2	0
684	0	3	0	0	0	0	1
685	2	0	0	2	3	0	0
686	0	1	0	3	3	2	0
687	2	3	0	0	1	2	0
688	0	0	3	2	3	1	0
689	1	0	3	2	2	0	0
690	0	0	0	1	1	1	0
691	1	0	1	0	0	0	0
692	1	0	0	1	0	0	0
693	2	1	0	2	1	0	0
694	1	0	0	1	2	1	0
695	2	1	2	0	0	1	0
696	2	1	2	0	3	1	0
697	1	3	0	0	0	1	1
698	1	0	0	1	2	1	0
699	1	0	2	3	0	1	0
700	0	0	1	2	0	1	0
701	1	1	1	1	2	0	0
702	1	2	2	1	1	1	0
703	0	1	2	0	2	1	0
704	1	2	1	1	2	2	0
705	2	0	1	1	1	2	0
706	0	0	3	2	2	1	0
707	2	1	0	1	1	1	0
708	1	0	2	0	1	1	0
709	2	0	1	2	0	2	0
710	2	1	2	0	0	1	0
711	0	3	1	2	1	0	0
712	2	1	0	1	0	1	0
713	1	1	2	1	3	0	0
714	1	1	0	1	0	1	1
715	0	3	2	1	1	2	0
716	2	3	2	0	0	3	0
717	0	0	1	1	1	1	0
718	1	1	2	1	0	2	0
719	0	0	1	3	0	0	0
720	0	0	3	2	0	3	0
721	0	0	0	1	0	0	0
722	1	1	0	0	1	0	0
723	0	1	0	3	3	1	0
724	1	0	2	1	2	0	0
725	0	3	1	0	1	1	0
726	1	0	1	0	0	0	0
727	1	3	1	3	0	1	0
728	3	2	3	1	1	0	0
729	1	0	1	1	0	3	0
730	0	0	1	1	0	2	0
731	0	0	1	1	2	1	0
732	0	0	0	1	0	0	0
733	1	0	0	2	0	0	0
734	0	0	0	1	0	1	0
735	3	0	1	1	0	0	0
736	0	2	1	2	1	3	0
737	1	2	2	1	1	2	0
738	1	1	1	0	1	0	0
739	1	2	2	1	0	1	0
740	1	1	1	0	1	1	0
741	2	3	3	1	1	3	0
742	0	0	0	1	0	3	0
743	3	1	2	2	2	0	0
744	0	1	1	1	3	1	0
745	0	1	3	2	3	0	0
746	2	1	2	1	1	2	0
747	3	0	1	3	0	0	0
748	0	0	1	0	2	1	0
749	1	0	3	0	2	0	0
750	0	0	2	2	1	0	0
751	3	0	3	0	0	0	0
752	0	0	2	1	1	0	0
753	0	2	1	3	3	0	0
754	3	0	1	0	1	0	0
755	0	1	2	0	1	1	0
756	1	0	1	0	2	2	0
757	2	0	0	1	0	0	0
758	0	3	0	0	0	2	1
759	2	0	3	0	0	0	0
760	0	0	1	2	0	2	0
761	0	1	3	0	1	2	0
762	2	1	1	0	1	1	0
763	0	2	2	1	1	1	0
764	1	0	1	1	1	0	0
765	0	0	0	0	1	0	0
766	1	2	2	1	1	0	0
767	1	2	3	0	0	1	0
768	2	0	2	1	0	0	0
769	1	1	2	0	2	1	0
770	0	2	1	1	1	2	0
771	0	0	3	1	1	0	0
772	1	0	1	2	1	0	0
773	1	1	0	1	0	1	0
774	2	2	2	1	1	1	0
775	3	0	2	3	0	1	0
776	2	0	0	0	1	1	0
777	0	3	0	0	2	0	0
778	0	1	2	0	0	2	0
779	0	1	2	3	2	2	0
780	2	0	1	1	1	2	0
781	1	1	1	0	2	1	0
782	0	2	0	0	2	0	0
783	0	1	1	1	3	3	0
784	3	0	0	3	1	1	0
785	3	2	1	1	1	0	0
786	2	3	0	1	0	2	1
787	0	0	0	2	0	0	0
788	0	0	0	3	0	1	0
789	2	1	0	1	1	0	0
790	1	0	0	0	2	2	0
791	1	3	0	0	0	1	1
792	0	0	0	2	3	1	0
793	1	0	0	1	0	2	0
794	2	0	2	1	1	0	0
795	0	1	1	2	0	1	0
796	0	1	1	3	1	1	0
797	3	0	0	1	0	0	0
798	3	1	1	0	0	0	0
799	1	1	2	2	0	0	0
800	1	0	1	2	0	2	0
801	0	3	1	1	1	2	0
802	0	3	1	3	2	2	0
803	2	2	0	2	1	2	0
804	3	1	2	0	1	1	0
805	0	1	3	3	0	2	0
806	2	2	2	1	1	1	0
807	1	0	1	2	1	0	0
808	0	0	0	0	0	0	0
809	2	0	0	1	2	0	0
810	2	1	0	2	0	1	0
811	1	1	2	0	3	0	0
812	0	0	2	0	3	1	0
813	2	0	1	0	0	0	0
814	0	3	0	0	0	0	1
815	2	0	2	1	2	1	0
816	1	1	3	1	2	2	0
817	2	1	0	1	2	1	0
818	0	1	0	0	2	0	0
819	2	1	0	1	0	1	0
820	2	1	3	2	0	1	0
821	2	0	0	0	0	0	0
822	0	1	1	0	3	1	0
823	0	0	1	1	2	1	0
824	1	1	1	2	2	1	0
825	1	1	1	1	1	3	0
826	1	0	1	1	3	0	0
827	1	2	0	0	0	1	1
828	1	0	2	3	1	1	0
829	0	3	2	2	0	0	0
830	0	0	2	1	0	1	0
831	1	0	3	0	2	0	0
832	0	2	3	1	1	2	0
833	2	0	0	1	0	3	0
834	0	0	1	3	2	1	0
835	3	0	0	2	0	2	0
836	1	1	1	1	3	1	0
837	1	0	2	0	0	0	0
838	2	3	0	2	1	0	0
839	0	1	1	2	1	1	0
840	1	1	0	3	0	1	0
841	0	0	0	2	2	0	0
842	0	2	1	3	1	1	0
843	2	2	1	3	1	0	0
844	0	1	0	1	0	2	1
845	1	3	0	1	1	2	0
846	1	2	1	3	2	1	0
847	2	2	0	1	1	0	0
848	0	0	2	0	0	1	0
849	2	1	1	0	0	0	0
850	2	2	0	1	2	0	0
851	2	1	1	0	1	0	0
852	0	0	3	0	2	0	0
853	1	1	2	3	0	2	0
854	1	1	1	2	1	0	0
855	1	3	0	3	0	2	0
856	1	0	1	2	1	1	0
857	2	1	2	3	3	0	0
858	0	2	0	1	2	1	0
859	2	1	0	1	1	0	0
860	1	0	1	1	3	1	0
861	0	2	0	0	0	0	1
862	1	2	1	0	2	0	0
863	1	0	0	1	3	1	0
864	1	0	1	2	0	1	0
865	2	1	0	2	0	1	0
866	0	0	3	0	3	1	0
867	0	0	3	3	1	0	0
868	0	1	1	1	0	0	0
869	1	0	1	2	2	3	0
870	1	1	0	1	1	1	0
871	2	0	1	0	2	0	0
